year,pop,country
1960,180671000,USA
1961,183691000,USA
1962,186538000,USA
1963,189242000,USA
1964,191889000,USA
1965,194303000,USA
1966,196560000,USA
1967,198712000,USA
1968,200706000,USA
1969,202677000,USA
1970,205052000,USA
1971,207661000,USA
1972,209896000,USA
1973,211909000,USA
1974,213854000,USA
1975,215973000,USA
1976,218035000,USA
1977,220239000,USA
1978,222585000,USA
1979,225055000,USA
1980,227225000,USA
1981,229466000,USA
1982,231664000,USA
1983,233792000,USA
1984,235825000,USA
1985,237924000,USA
1986,240133000,USA
1987,242289000,USA
1988,244499000,USA
1989,246819000,USA
1990,249623000,USA
1991,252981000,USA
1992,256514000,USA
1993,259919000,USA
1994,263126000,USA
1995,266278000,USA
1996,269394000,USA
1997,272657000,USA
1998,275854000,USA
1999,279040000,USA
2000,282162411,USA
2001,284968955,USA
2002,287625193,USA
2003,290107933,USA
2004,292805298,USA
2005,295516599,USA
2006,298379912,USA
2007,301231207,USA
2008,304093966,USA
2009,306771529,USA
2010,309327143,USA
2011,311583481,USA
2012,313877662,USA
2013,316059947,USA
2014,318386329,USA
2015,320738994,USA
2016,323071755,USA
2017,325122128,USA
2018,326838199,USA
2019,328329953,USA
2020,331501080,USA
2021,331893745,USA
1960,5073342,Madagascar
1961,5206239,Madagascar
1962,5343117,Madagascar
1963,5484252,Madagascar
1964,5630024,Madagascar
1965,5780453,Madagascar
1966,5936461,Madagascar
1967,6099529,Madagascar
1968,6270528,Madagascar
1969,6450324,Madagascar
1970,6639751,Madagascar
1971,6840457,Madagascar
1972,7051090,Madagascar
1973,7268560,Madagascar
1974,7491935,Madagascar
1975,7720859,Madagascar
1976,7955197,Madagascar
1977,8195142,Madagascar
1978,8440919,Madagascar
1979,8692289,Madagascar
1980,8948162,Madagascar
1981,9207310,Madagascar
1982,9470990,Madagascar
1983,9740088,Madagascar
1984,10015017,Madagascar
1985,10297746,Madagascar
1986,10588428,Madagascar
1987,10890514,Madagascar
1988,11206789,Madagascar
1989,11536734,Madagascar
1990,11882762,Madagascar
1991,12245260,Madagascar
1992,12623342,Madagascar
1993,13020100,Madagascar
1994,13436121,Madagascar
1995,13869138,Madagascar
1996,14317454,Madagascar
1997,14778903,Madagascar
1998,15250934,Madagascar
1999,15730885,Madagascar
2000,16216431,Madagascar
2001,16709665,Madagascar
2002,17211934,Madagascar
2003,17724310,Madagascar
2004,18250774,Madagascar
2005,18792171,Madagascar
2006,19350299,Madagascar
2007,19924958,Madagascar
2008,20513599,Madagascar
2009,21117092,Madagascar
2010,21731053,Madagascar
2011,22348158,Madagascar
2012,22966240,Madagascar
2013,23588073,Madagascar
2014,24215976,Madagascar
2015,24850912,Madagascar
2016,25501941,Madagascar
2017,26169542,Madagascar
2018,26846541,Madagascar
2019,27533134,Madagascar
2020,28225177,Madagascar
2021,28915653,Madagascar